Agency,Reason Rejected
נדלן משתלם (Givatayim),No identifiable owner/lead-agent name found publicly.
פילו נדלן (Givatayim),No identifiable owner/lead-agent name found; insufficient information within available research budget.
"נדל""ן אנושי (Givatayim)",No identifiable owner/lead-agent name found; insufficient information within available research budget.
תיווך וונדרלנד (Givatayim),No identifiable owner/lead-agent name found; insufficient information within available research budget.
קבוצת רם - רמי גמרי (Holon),"Domain ramgroup.co.il returned an active (403 Forbidden, i.e. real/live) response rather than a DNS failure — precautionary reject given risk of an existing professional web presence that could not be fully inspected."
"אלמלם נדל""ן - שמעון אלמלם (Bat Yam)","Name confirmed via FB handle and directory, but marketing/activity evidence is too thin to clear the quality bar (score ~60/100)."
"אדיר נדל""ן (Bat Yam/Givatayim)","Established 2002, licensed, but no owner name found in any source; insufficient evidence to verify decision authority (score ~57/100)."
מקסים נכסים (Bat Yam),Established 1999 but no owner name found and activity evidence too thin (score ~55/100).
"מתן נסטל נדל""ן (Givatayim)",Named owner but marketing/activity evidence too thin to clear the quality bar (score ~58/100).
רון ניסים - תיווך מוצא ניסים (Givatayim),Named owner but essentially no other evidence found; insufficient to verify activity (score ~55/100).
"BuyHome ביי הום שיווק נדל""ן (נתניה)","Good website — buy-home.co.il is a real, functioning, professional agency site (REJECT per website-need criteria)."
אורייה ישראל – דירות למכירה בנתניה,"Good website — oriya-realestate.co.il is a real, functioning agency site (REJECT)."
"Landsman – לנדסמן נתניה סוכנות נדל""ן","Insufficient public info to verify decision authority or deal-flow activity; the domain implied by the page's Facebook username (maxhome.co.il) failed to resolve/connect, which is inconclusive rather than confirmatory. Could not verify before search tools became unavailable."
"RealEstate4U נדל""ן בנתניה","Insufficient public info to verify — page found but no About text, follower count, owner name, or activity evidence could be retrieved."
"G.O תיווך נדל""ן (נתניה)",Insufficient public info to verify — no corroborating detail found beyond the page title.
"משרד תיווך נדל""ן M.Y (נתניה)","Page returned a server error on every fetch attempt; could not verify identity, authority, or activity."
Gabi Shushan – Re/max Blue White Netanya,Franchise agent under Re/max; no independent decision authority confirmed and the franchise brand likely has its own professional website.
Viki Ben Haim – Re/max Blue White Netanya,Franchise agent under Re/max; same reasoning as above.
"בראשית נדל""ן נתניה (Bereshit)","No individual owner or lead-agent name could be identified in any public source checked (only a generic office phone/email); the page appears to be one branch of a larger multi-city 'Bereshit Group,' so decision authority could not be established."
אנגלו סכסון הוד השרון,National real-estate franchise (Anglo-Saxon); presumed to have a professional corporate website and no independently-verifiable local owner authority.
מנדי טל – Re/max הוד השרון,Franchise agent under Re/max; no independent decision authority confirmed.
טופ נכסים (הוד השרון),Insufficient public info to verify — could not complete research before search tools became unavailable mid-session.
"נדב נגה – תיווך נדל""ן","Insufficient public info to verify — only a page title was found, no About text, follower count, or activity evidence."
"יפית נדל""ן (הוד השרון)","Insufficient public info to verify — only a page title was found, no corroborating detail."
"קבוצת נדל""ן בשרון (KNB)",Appears to be a multi-agent network/group brand rather than a single owner-operator; no individual decision-maker identified.
Yokra Estate תיווך יוקרה אסטייט,"Nationwide luxury brokerage network ('בכל הארץ'), not a Caesarea-specific single owner-operator; no local individual authority identified."
"פרץ נכסי נדל""ן (קיסריה)","Insufficient public info to verify — Facebook page and prospective website could not be rendered/resolved; no owner name, follower count, or activity evidence obtained."
"נאות גולף קיסריה – איריס נדל""ן בע""מ","Insufficient public info to verify — page found (villas/homes in Golf Estates Caesarea) but no owner name, follower count, website check, or activity evidence could be confirmed."
Tova Bar Luxury Real Estate (קיסריה),"Insufficient public info to verify — personal-brand page name found but no About text, follower count, or activity evidence obtainable."
דני דר-אל קיסריה נכסים,"Rejected for a data-integrity concern: the Facebook page is titled 'דני דר-אל' but a search snippet described the same page as belonging to a differently-named person ('Dani Aviton'); the discrepancy could not be resolved with available tools, so no reliable facts could be confirmed about this candidate."
Caesarea Real Estate Company,"Confirmed active luxury-villa marketing content (sea-view villa post with pool/outdoor kitchen) but no owner or lead-agent name could be identified anywhere in public sources checked, so decision authority could not be established."
נכסי קיסריה – Caesarea Estates Realty,"Insufficient public info to verify — only a page title was found, no owner name, follower count, or activity evidence."
וילות ובתי יוקרה בקיסריה / בתים למכירה בקיסריה / וילות למכירה בקיסריה / וילות להשכרה בקיסריה,"Generic property-marketplace/listing page names, not an identifiable single agency owner — do not match the ICP of a named owner-operator."
"נדל״ן בקיסריה (מכירה קניה והשכרה) / קיסריה שלי נדל""ן","Facebook groups, not business/agency pages — not applicable to the ICP."
"באר הנדל""ן (יאיר אסולין), רחובות","Has its own professional, modern, actively-maintained website (wellestate.co.il) — Good website, reject per criteria."
"שייבה נדל""ן, רחובות","Has its own professional, modern website (sheiba.co.il) with property photography, blog and testimonials — Good website, reject."
"דיור פלוס, רחובות","Has a sophisticated, professionally-maintained website (diur-plus.co.il) with 3D renderings and project showcases — Good website, reject."
פריד סעיד - משרד תיווך בחיפה,"Has a legitimate, professionally-maintained website (faridsaeed.co.il) with blog, calculators and current listings — Good website, reject."
"Richi Real Estate (ריצ'י נכסים), חיפה","Has a modern, professionally-designed bilingual website (richirealty.com) with quality photography — Good website, reject."
"טופ נדל""ן, נס ציונה","Has a competent, modern website (top-nadlan.co.il) with structured content, testimonials and scheduling integration — Good/professional website, reject."
"בני מיטוקו, אשדוד",Weak marketing signal (Instagram only ~106 followers); owns a website domain (bm-home.co.il) that could not be verified but the overall profile is too thin to justify inclusion.
"אמסי נדל""ן, אשדוד",No single identifiable owner/decision-maker found; modest Facebook following (547 likes); described as a multi-agent marketing group rather than an individual-led business.
"בית הנדל""ן חיפה",Operates as a larger multi-branch brokerage network (Haifa + Rishon LeZion) with no single identifiable owner — fails decision-authority criteria.
"בועז פרי - יועץ ומשווק נדל""ן, חיפה",Facebook page shows only ~12 likes — insufficient evidence of active marketing presence or deal flow.
"וואן נדל""ן, אשדוד",Strong following (11K Instagram) but multiple agents work under the office and no single owner/decision-maker could be identified publicly — fails decision-authority criteria.
"איתן קראוס נדל""ן אונליין","His Facebook page identifies his base as Tel Mond, not Rehovot, despite directory listings mentioning Rehovot as a service area — location too ambiguous to confidently classify as a Rehovot prospect."
"עומרי בוזגלו - סוכן נדל""ן, רחובות","Strong Facebook following (6,288 likes) but already owns a dedicated website domain (omribuzaglo.co.il); site could not be accessed to verify quality (403 error), and the level of existing marketing investment suggests likely reasonable site — too risky to include without verification."
"ג'ניה קגן - יועץ ומשווק נדל""ן, חיפה","Active Facebook poster but no verifiable follower count, listing volume, or deal-flow evidence could be found via public search — insufficient public info to verify."
"דנהנדל""ן (DanandLan) — Ashkelon",Good website — REJECT (danandlan.co.il is modern and professional)
"אפיקי נדל""ן (Afikei Nadlan) — Rosh HaAyin",Good website — REJECT (afikeynadlan.co.il is modern and professional)
"קבוצת נדל""ן 360 - דודי חלילי (Nadlan Group 360) — Rosh HaAyin",Good website — REJECT (nadlangroup360.co.il is modern and professional)
"ארזי נדל""ן - שלומי ארזי (Arazi Nadlan / as-nadlan.co.il) — Rosh HaAyin","Good website — REJECT (as-nadlan.co.il is modern and professional, confirmed via proxy fetch)"
מיכאל מסטר - מאסטר נכסים (Michael Master) — Ashkelon,Good website — REJECT (apartmentsashkelon.co.il is modern and professional; also RE/MAX-affiliated)
ליאון חורסנוב - RE/MAX Promise (Leon Hursanov) — Ashkelon,Good website — REJECT (leonhursanov.co.il is modern and professional; RE/MAX franchise agent)
צופית נכסים - צופית שרפי (Tzofit Sharfi) — Rosh HaAyin,Good website — REJECT (tsofits.co.il is modern and professional with high-quality photos)
איצקוביץ נכסים (Gili Itzcovich Properties) — Rosh HaAyin,"Good website — REJECT (gilitzcovich.com is modern and professional); also a multi-city chain (Ra'anana, Herzliya, Kfar Saba, etc.), not a single independent local agency"
"Landsman — Psagot Afek, Rosh HaAyin",Part of a national franchise network (180+ agents) with a professional corporate website (landsman.co); local office owner/decision-authority could not be identified
"קלאס נכסים - אבי סוזי בע""מ (Class1 / Klass Nechasim) — Rosh HaAyin","Good website — REJECT (class1.co.il is modern and professional); headquartered in Petach Tikva as a multi-city new-projects marketing center, not a Rosh HaAyin-specific independent agent"
אנגלו-סכסון (Anglo-Saxon) / עופר עמר — Ashkelon,"National franchise chain with a professional corporate website (anglo-saxon.co.il); agent is staff, not an independent decision-maker"
RE/MAX Promise — Ashkelon,National franchise chain with professional corporate website/marketing
"טופ נדל""ן - רוני שמר (Top Nadlan) ","Based in Rishon LeZion/Ornit, not Ashkelon or Rosh HaAyin — location mismatch"
NS.Nadlan Group — Rosh HaAyin,"Commercial real estate location-scouting/portfolio firm, not a residential listing agent — poor fit for photo-enhancement ICP"
Sol Zaidi (RE/MAX) — Rosh HaAyin,"Already has an active website (RE/MAX-affiliated); also hosted on a vercel.app subdomain similar to our own template output, adding conflict risk"
"מרכז הנדל""ן - דב ברייר (Merkaz HaNadlan / Dov Breyer) — Ashkelon","Only 5 Facebook likes found — inactive/minimal social presence, fails marketing/activity bar"
"""משה"" (Moshe) — Midrag directory, Ashkelon","Only a first name available via directory; no verifiable full identity, Facebook page, or activity evidence found"
"""אלכס"" (Alex) — Midrag directory, Ashkelon","Only a first name available via directory; no verifiable full identity, Facebook page, or activity evidence found"
צמד-חן תיווך נכסים (Tzemed-Chen) — Ashkelon,"No verifiable owner name, Facebook page, or follower/activity evidence found despite searching"
תיווך עינן (Einan Brokerage) — Ashkelon,No verifiable owner name or dedicated Facebook business page found; only a private Facebook group reference
אבי גוילי מתווכים (Avi Guili Brokers) — Ashkelon,Facebook page exists but no follower count or listing-activity evidence could be found despite searching
מרכז התיווך (Merkaz HaTivuch) — Ashkelon,Ownership unclear (only a tentative first name found); no verifiable follower count or activity evidence
תיווך יישוב הארץ - לוי (Yishuv HaAretz / Levi) — Ashkelon,No verifiable follower count or listing-activity evidence found despite a Facebook page existing
וואן הום (One Home) — Rosh HaAyin,"No verifiable owner name, follower count, or listing-activity evidence found"
תיווך ראש העין (053-2771737) — Rosh HaAyin,Multiple unclear agent names (Amir/Giora) with no single verifiable owner or follower count
תיווך 2000 — Rosh HaAyin,No verifiable owner name or follower count found; only a Facebook group reference
שוקי - נכסים והשקעות (Shuki) — Rosh HaAyin,No dedicated Facebook business page found; insufficient marketing/activity evidence
אור פרץ (Or Peretz) — Rosh HaAyin,Facebook page exists but follower count and listing-activity evidence could not be verified
יעקבי נכסים (Yaakovi Nechasim) — Rosh HaAyin,"Facebook profile exists but no follower count, owner full name, or activity evidence could be verified"
אלוני נכסים (Aloni Nechasim) — Rosh HaAyin,Search results conflated this with an unrelated company (Alony Hetz holding group) — dropped for data-integrity risk; ownership unclear
"אקספו נדל""ן (Expo Nadlan) — Rosh HaAyin","National franchise network, not an independent local agency"
Century 21 Empire — Ashkelon,National franchise chain
משרד תיווך פעמון 21 (Paamon 21) — Ashkelon,"No verifiable owner name, Facebook page, or activity evidence found"
תיווך הלל / Hillel Real Estate — Ashkelon,"Address/phone found via directory but no verifiable owner name, Facebook page, or activity evidence found"
"נאור נדל""ן - נאור טרבלסקי (Naor Real Estate) — Ashkelon",No verifiable Facebook page or follower/activity evidence found despite a strong directory rating (5.0/20 reviews)
"מרכז הנדל""ן (International) / אינטרנשיונל — Ashkelon","No verifiable owner name, Facebook presence, or activity evidence found"
"פריים נדל""ן","Own domain prime-nadlan.co.il is live and functioning (About page confirms owner Ronen Nissan, ~9-agent team) — real website, fails no-website test."
תיווך יאיר (Yair Real Estate),"Own domain ashkelonnadlan.co.il is live with active sale/rental listings — real website, fails no-website test."
"אריק פישר - תיווך ושיווק נדל""ן","Own domain arik-nadlan.co.il is live and functioning — real website, fails no-website test. (Duplicate entry of rank 69, same person/site under a different city/agency-name variant.)"
"צעדים - נדל""ן ופיננסים","Own domain tseadim.com is live (Hebrew version functional) — real website, fails no-website test."
הוד נכסים (Hod Nechasim),"Own domain hod.co.il is a real, functioning site with property search and agent profiles — fails no-website test."
תיווך הוגן ומשכנתאות,"Own domain tivuhogen.com is live (amateur quality but functioning) — real website, fails no-website test."
"שי תיווך נדל""ן ויזמות (Shai Toyzer)","Own domain shairealestate.com is live (basic Wix template but functioning) — real website, fails no-website test."
"תיווך ושיווק נדל""ן - אריק פישר","Own domain arik-nadlan.co.il is live and functioning — real website, fails no-website test. (Duplicate entry of rank 37, same person/site under a different city/agency-name variant.)"
תיווך הכהנים,"Own domain cohensrealestate.com is live with working search/filters — real website, fails no-website test."
"הראשונים בנדל""ן - M&E Group","Own domain nadlanrishonim.co.il is live (janky/broken elements but loads real listing content) — real website, fails no-website test."
"אלעד גורל – מר נדל""ן","Own domain eladgoral.co.il is live and functioning (modern framework, just needs polish) — real website, fails no-website test."
"פסגות הכרמל נדל""ן","Confirmed via fresh search: official site is psagothacarmel.com (license #030827296, phone 077-997-2270 / 050-950-5010) — real website, fails no-website test."
"נדלן IN ניהול בע""מ",MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_hw2ow7MOKju
דירות למכירה במודיעין — צוות חן ורועי,MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_AUgksgp4Ou1wJ
ירין בן דוד – טלי בן דוד תיווך ושיווק נכסים,MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_cNwWyJHeDUX
בית ונכס,MADLAN_PRESENT — madlan.co.il/agent/re_agent_dC9Tfwz3HYP
"דרור אוזן - יועץ נדל""ן",MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_eWhHN2LWtKi
"ענר נדל""ן (אלעד ביטון נדל""ן)",MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_wg6MYqcK15
תיווך ת.ק.מ ירושלים (T.K.M),MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_iG6CJu2TnnA
אופיר אלבז - דירות למכירה בראשון לציון,MADLAN_PRESENT — madlan.co.il/agent/re_agent_bsh3tEtNpv0
"ליה נדל""ן",MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_iziA2yICYp6
"אקסלנט נדל""ן (Excellent Real Estate)",MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_eGqjNK4LzCh
סימה בתים יפים,HAS_WEBSITE
תיווך אבי נכסים,MADLAN_PRESENT — madlan.co.il/agent/re_agent_ytiWvxmOlk
אלון נכסים,HAS_WEBSITE
אבי הראל נכסים והשקעות (Avi Harel Nechasim VeHashkaot),MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_8bgp1D1LtW1jw
אור בבית — תיווך עם חיוך,MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_e6F1VbPZEt
ליה נכסים,MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_iziA2yICYp6
"בית בלב - עסקי נדל""ן",HAS_WEBSITE
"עוצמה — ייעוץ משכנתאות ונדל""ן",MADLAN_PRESENT — madlan.co.il/mortgage-office/bbef68d2-dbfc-40f9-a8cd-7b2e45cc35b0
תיווך שכונת התקווה - תומר שרעבי,HAS_WEBSITE
סנטרל לוקיישן — שימי חובב (Central Location),HAS_WEBSITE
"הדר לוסטיג נדל""ן",MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_i7HTee0udGo
זרקו נכסים,MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_dIL3NNKzue1
"אוריאלי השקעות נדל""ן",MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_f1LoDvthhmi
"אפיקי מרום שירותי נדל""ן",MADLAN_PRESENT — madlan.co.il/agent/re_agent_coOGQG056t6
תיווך לילך רמת השרון (לילך ביטון),MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_56eN3nWpmC
"גולד קי נדל""ן (Gold Key Real Estate)",MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_hQ9uhc5uvY8
House in - משרד תיווך,MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_cqHI7mQ1jS3
"נח קליין נדל""ן ותיווך",HAS_WEBSITE
"גלית סעדון - שיווק, תיווך נכסים ופרויקטים",MADLAN_PRESENT — madlan.co.il/agent/re_agent_bdG1eHuFK5L
יהלום נכסים (Yahalom Nechasim),MADLAN_PRESENT — madlan.co.il/agent/re_agent_baO09vqqOYn
"לירון זלאיט - סוכן נדל""ן ראש העין",MADLAN_PRESENT — madlan.co.il/agent/re_agent_gwcm2SZ1YXl
דירות למכירה בראשון לציון והסביבה - אריאל רוזנטל,MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_bTCyyN7ybwD
Gold House נכסים,MADLAN_PRESENT — madlan.co.il/agent/re_agent_gjXLSY0RqgL
ארז נכסים (Erez Real Home),MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_ecDcGTy8kiA
"אייקון נדל""ן (בתים למכירה ברמת השרון)",MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_iUUvaarNKP
"קבוצת טרי לחמי נדל""ן (TERRY Lahmi Group)",MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_iMOnwqdVBf8
תיווך נכסים בתל אביב - שי שחק,MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_NzPpvt2TFE
BarHome - Boutique Brokers (גיא ברהום),MADLAN_PRESENT — used as identity source (madlan.co.il/agent/...) before rule existed; demo already deployed but excluded from outreach
שי נכסים – הראשון ברמת השרון,MADLAN_PRESENT — used as identity source (madlan.co.il/agent/...) before rule existed; demo already deployed but excluded from outreach
"עופר נדל""ן",MADLAN_PRESENT — madlan.co.il/agentsOffice/re_office_fulcUA6FvXN
"ליאור בר עוז - תיווך נדל""ן",MADLAN_PRESENT — madlan.co.il/agent/re_agent_ineDjAcENIK
,אסנת ניניו - נדל"ן בהרצליה ורמת השרון,אסנת ניניו,GATE_D_WEBSITE,"FB page About lists live website nadlanham.co.il — disqualified, has existing site"
,מאיר דינר - מתווך נדל"ן,מאיר דינר,GATE_A_RECENCY,"Most recent FB post 14 Dec 2024, no newer activity found — stale >6mo"
,אלמות נדל"ן,איתי כהן,GATE_D_WEBSITE,"FB page Links field shows itay-cohen.co.il — owner has own branded website"
,יפעת - יועצת ומשווקת נדל"ן (חיפה),יפעת,GATE_A_RECENCY,"Only visible/pinned post dated 15 June 2024, no confirmed activity within 6 months"
,המיטב בנדל"ן,יגאל ידין,GATE_A_RECENCY,"Most recent regular post 17 September 2025, ~11mo stale — fails 6mo recency gate"
